"","Departamento","Población Residente","Cantidad de Medios","Cantidad de Periodistas","Relación Población residente/medios","Relación población residente/periodista","Categoría","provincia","media_provincia"
"1","Anta",57411,3,14,19137,4100.78571428571,"2","Salta",15453.5892857143
"2","Cachi",7315,2,6,3657.5,1219.16666666667,"1","Salta",15453.5892857143
"3","Cafayate",14850,2,10,7425,1485,"1","Salta",15453.5892857143
"4","Capital",536113,7,104,76587.5714285714,5154.93269230769,"4","Salta",15453.5892857143
"5","Cerrillos",35789,2,6,17894.5,5964.83333333333,"2","Salta",15453.5892857143
"6","Chicoana",20710,2,6,10355,3451.66666666667,"1","Salta",15453.5892857143
"7","General Güemes",47226,3,22,15742,2146.63636363636,"3","Salta",15453.5892857143
"8","General José de San Martín",156910,7,21,22415.7142857143,7471.90476190476,"3","Salta",15453.5892857143
"9","Guachipas",3187,1,3,3187,1062.33333333333,"1","Salta",15453.5892857143
"10","Iruya",5987,NA,NA,NA,NA,"1","Salta",15453.5892857143
"11","La Caldera",7763,1,2,7763,3881.5,"1","Salta",15453.5892857143
"12","La Candelaria",5704,2,4,2852,1426,"1","Salta",15453.5892857143
"13","La Poma",1738,NA,NA,NA,NA,"1","Salta",15453.5892857143
"14","La Viña",7435,1,2,7435,3717.5,"1","Salta",15453.5892857143
"15","Los Andes",6050,2,6,3025,1008.33333333333,"1","Salta",15453.5892857143
"16","Metán",40351,2,8,20175.5,5043.875,"2","Salta",15453.5892857143
"17","Molinos",5652,NA,NA,NA,NA,"1","Salta",15453.5892857143
"18","Orán",138838,4,18,34709.5,7713.22222222222,"3","Salta",15453.5892857143
"19","Rivadavia",30357,2,3,15178.5,10119,"1","Salta",15453.5892857143
"20","Rosario de la Frontera",28993,2,6,14496.5,4832.16666666667,"2","Salta",15453.5892857143
"21","Rosario de Lerma",38702,4,23,9675.5,1682.69565217391,"2","Salta",15453.5892857143
"22","San Carlos",7016,1,1,7016,7016,"1","Salta",15453.5892857143
"23","Santa Victoria",10344,1,1,10344,10344,"1","Salta",15453.5892857143
