Provincia,Municipio,Departamento
Catamarca,Aconquija,Andalgalá
Catamarca,Ancasti,Ancasti
Catamarca,Andalgalá,Andalgalá
Catamarca,Antofagasta de la Sierra,Antofagasta de la Sierra
Catamarca,Belén,Belén
Catamarca,Capayán,Capayán
Catamarca,Corral Quemado,Belén
Catamarca,El Alto,El Alto
Catamarca,El Rodeo,Ambato
Catamarca,Fiambalá,Tinogasta
Catamarca,Fray Mamerto Esquiú,Fray Mamerto Esquiú
Catamarca,Hualfín,Belén
Catamarca,Huillapima,Capayán
Catamarca,Icaño,La Paz
Catamarca,La Puerta,Ambato
Catamarca,Las Juntas,Ambato
Catamarca,Londres,Belén
Catamarca,Los Altos,Santa Rosa
Catamarca,Los Varela,Ambato
Catamarca,Mutquín,Pomán
Catamarca,Paclín,Paclín
Catamarca,Pomán,Pomán
Catamarca,Pozo de Piedra,Belén
Catamarca,Puerta de Corral Quemado,Belén
Catamarca,Puerta de San José,Belén
Catamarca,Recreo,La Paz
Catamarca,San Fernando,Belén
Catamarca,San Fernando del Valle de Catamarca,Capital
Catamarca,San José,Santa María
Catamarca,Santa María,Santa María
Catamarca,Santa Rosa,Santa Rosa
Catamarca,Saujil,Pomán
Catamarca,Tapso,El Alto
Catamarca,Tinogasta,Tinogasta
Catamarca,Valle Viejo,Valle Viejo
Catamarca,Villa Vil,Belén
Chubut,Alto Río Senguer,Río Senguer
Chubut,Camarones ,Florentino Ameghino
Chubut,Cholila,Cushamén
Chubut,Comodoro Rivadavia,Escalante
Chubut,Corcovado,Futaleufú
Chubut,Dolavon,Gaiman
Chubut,El Hoyo,Cushamen
Chubut,El Maitén,Cushamen
Chubut,Epuyén,Cushamen
Chubut,Esquel,Futaleufú
Chubut,Gaiman,Gaiman
Chubut,Gobernador Costa,Tehuelches
Chubut,Gualjaina,Cushamén
Chubut,José de San Martín,Tehuelches
Chubut,Lago Puelo,Cushamen
Chubut,Paso de Indios,Paso de Indios
Chubut,Puerto Madryn,Biedma
Chubut,Puerto Pirámides,Biedma
Chubut,Rada Tilly ,Escalante
Chubut,Rawson,Rawson
Chubut,Río Mayo,Río Senguer
Chubut,Río Pico,Tehuelches
Chubut,Sarmiento,Sarmiento
Chubut,Tecka,Languiñeo
Chubut,Trelew,Rawson
Chubut,Trevelin,Futaleufú
Chubut,28 de Julio,Gaiman
Formosa,Clorinda ,Pilcomayo
Formosa,Comandante Fontana,Patiño
Formosa,El Colorado,Pirané
Formosa,El Espinillo,Pilagás
Formosa,Estanislao del Campo,Patiño
Formosa,Formosa ,Formosa
Formosa,General Enrique Mosconi,Ramón Lista
Formosa,General Lucio Victorio Mansilla,Laishí
Formosa,General Manuel Belgrano,Patiño
Formosa,Herradura,Laishí
Formosa,Ibarreta ,Patiño
Formosa,Ingeniero Guillermo Nicasio Juárez,Matacos
Formosa,Laguna Blanca,Pilcomayo
Formosa,Laguna Naick Neck,Pilcomayo
Formosa,Laguna Yema,Bermejo
Formosa,Las Lomitas,Patiño
Formosa,Mayor Vicente Villafañe,Pirané
Formosa,Misión San Francisco de Laishí,Laishí
Formosa,Misión Tacaaglé ,Pilagás
Formosa,Palo Santo ,Pirané
Formosa,Pirané ,Pirané
Formosa,Pozo del Tigre,Patiño
Formosa,Riacho He-Hé,Pilcomayo
Formosa,San Martín Dos,Patiño
Formosa,Villa Dos Trece,Pirané
