Provincia,Descripción del medio prototípico
buenos-aires,"El medio estándar en la provincia de Buenos Aires es un portal digital de noticias que emplea a alrededor de cinco periodistas, pero cuyas condiciones de contratación son inciertas. Este medio prototípico recibe publicidad oficial, aunque sus responsables no saben o prefieren no contestar qué porcentaje representa el aporte del Estado en el ingreso total. Su agenda informativa está centrada en la atención sanitaria, preocupación que coincide con la pandemia del coronavirus vigente al momento de la investigación (febrero-marzo de 2021)."
catamarca,"El medio de comunicación catamarqueño más común es un portal digital de noticias y un perfil de Facebook donde trabajan dos periodistas retribuidos mediante una relación informal. El medio estándar tiene entre 6 y 10 años de antigüedad, y sus responsables consideran que el 80% de su contenido es de interés público local. Es un medio que recibe pauta oficial, pero cuyos responsables desconocen o prefieren no precisar la cantidad."
chaco,"El medio de comunicación chaqueño más común es una estación de radio donde trabajan entre uno y tres periodistas retribuidos con modalides no registradas (de palabra, emprendimiento familiar o pagos discontinuos) o por comisiones publicitarias. El medio estándar del Chaco tiene entre 6 y 10 años de antigüedad, y sus responsables consideran que el 80% de su contenido es de interés público local. Es un medio que recibe pauta oficial, que puede implicar el 50% de sus ingresos o más puesto que un número significativo de sus responsables desconocen o prefieren no precisar el impacto de la propaganda estatal en el ingreso total."
chubut,"El medio de comunicación chubutense más común es una estación de radio que también tiene perfil social en Facebook donde trabajan entre 5 y 6 periodistas en relación de dependencia. El medio estándar presenta entre 6 y 10 años de antigüedad, y sus responsables consideran que entre el 40 y el 70% de su contenido es de interés público local. Es un medio que recibe pauta privada y pauta oficial en porcentajes similares, pero en el caso de la pauta oficial sus responsables no conocen o prefieren no precisar la cantidad."
ciudad-autonoma-de-buenos-aires,"El medio de comunicación porteño más común es una web de noticias, que suele ir acompañada de otros formatos, como ediciones impresas o estaciones de radio. Este medio tiene muy pocos periodistas, que trabajan en condiciones informales, y normalmente está dirigido por hombres, quienes consideran que el 80% del contenido refiere a temas de interés público local con la actividad escolar como asunto más popular. Se trata de una entidad que recibe publicidad oficial, pero cuyos responsables dicen que desconocen o prefieren no exponer el impacto de los recursos públicos en el ingreso total."
cordoba,"Si bien el medio predominante en Córdoba es el portal digital de noticias manejado por una sola persona, también se destaca la presencia de las estaciones de radio que emplean a alrededor de tres periodistas, sobre todo fuera de la capital. La publicidad oficial tiene un impacto significativo, aunque buena parte de los encuestados prefieren no responder qué porcentaje representa aquella en el ingreso de los medios. En el área capitalina, en general, los periodistas trabajan en relación de dependencia, a diferencia del resto de la provincia en el que el cuentapropismo y el monotributismo son más frecuentes (incluso es relevante el número de periodistas retribuidos con un porcentaje de las ventas de publicidad). Que el funcionamiento de las intendencias aparezca como el tema más popular daría un indicio sobre la importancia real de la pauta oficial.  "
corrientes,"El medio correntino más común es el portal digital de noticias, donde trabajan uno o dos periodistas monotributistas. El medio estándar tiene entre 6 y 10 años de antigüedad, y sus responsables consideran que el 100% de su contenido es de interés público local. Es un medio que recibe pauta oficial, pero cuyos responsables desconocen o prefieren no exponer el impacto de los recursos públicos en el ingreso total. "
entre-rios,"El medio prototípico entrerriano es una página web en la que trabajan menos de tres periodistas monotributistas. El medio estándar tiene alrededor de 10 años, y sus responsables consideran que el 90 o 100% de su contenido es de interés para la comunidad donde se asientan. Esta entidad recibe pauta oficial, aunque sus directivos desconocen o prefieren no exponer el impacto de los recursos públicos en el ingreso total. "
formosa,"El medio de comunicación formoseño más común es un perfil en la red social Facebook normalmente administrada por un periodista monotributista (el número de trabajadores aumenta si la cuenta está asociada a otra plataforma, pero no cambia la forma de contratación). El medio estándar tiene entre 6 y 10 años de antigüedad, y sus responsables consideran que entre el 50 y el 80% de su contenido es de interés local. Es una entidad que recibe pauta oficial, pero cuyos responsables desconocen o prefieren no exponer el impacto de los recursos públicos en el ingreso total."
jujuy,"El medio de comunicación más común en Jujuy es una estación de radio con un perfil en la red social Facebook en la que trabajan en promedio dos periodistas y donde las noticias locales ocuparían el 70% de la agenda. Sus ingresos provienen principalmente de la pauta oficial o de contratos con organismos del Estado, pero sus propietarios evitan precisar la incidencia de los fondos estatales en los ingresos totales. Esta situación torna fundamental la relación de los medios con las instituciones públicas."
la-pampa,"El medio más común en La Pampa es una estación de radio de frecuencia modulada con un perfil de Facebook, que cumple un rol importante en las pequeñas poblaciones de la provincia y que predominantemente informa sobre la actividad municipal, con énfasis en la Intendencia. Este medio prototípico cubre sus costos básicos con publicidad oficial, y a menudo es conducido por su propio dueño o por familiares de este en un esquema de cuentapropismo."
la-rioja,"El medio riojano más común es una estación de radio con un perfil en la red social Facebook, y una antigüedad de entre seis y 10 años, donde trabajan pocos periodistas en relación de dependencia o como monotributistas. Esta entidad dedica, según sus responsables, el 80% de su agenda a la difusión de noticias de interés público local. Es muy posible que este medio reciba publicidad oficial, y que, incluso, los recursos públicos sean la principal o única forma de ingreso. "
mendoza,"El medio de comunicación prototípico de la provincia de Mendoza es una estación de radio con al menos un perfil en la red social de Facebook que cuenta con entre 5 y 10 periodistas, muy probablemente retribuidos por medio de canjes o con otros mecanismos informales. El medio estándar posee entre 11 y 15 años de antigüedad, y dedicaría al menos el 30% de su agenda a las noticias de interés público local. La mayor fuente de ingreso es la pauta privada, aunque la pauta oficial desempeña un papel relevante, pese a que un número significativo de propietarios dijo que no sabía o que prefería no contestar la pregunta acerca de qué porcentaje del ingreso total representan los recursos del Estado."
misiones,"El medio de comunicación misionero más común es un diario digital donde trabajan entre cinco y 10 periodistas en principio en relación de dependencia. El medio estándar tiene alrededor de una década de antigüedad, y sus responsables consideran que entre el 80 y el 100% de su contenido es de interés público local. Es un medio que recibe pauta oficial, pero cuyos responsables desconocen o prefieren no precisar en qué medida este rubro impacta en los ingresos totales."
neuquen,"El medio de comunicación predominante en la provincia de Neuquén es una estación de radio cuya estructura de personal en la producción de noticias cuenta con entre 3 y 4 periodistas retribuidos en relación de dependencia o que facturan como monotributistas. El medio estándar tiene entre 6 y 10 años de antigüedad; recibe publicidad oficial -esta fuente corresponde a casi el 40% de los ingresos totales- y dedica el 34,7% de su agenda a los temas locales, con acento en el funcionamiento de la Intendencia. Otro aspecto que caracteriza al medio prototípico es el uso de Facebook como red social. "
rio-negro,"El medio prototípico en Río Negro es una radio con dos periodistas remunerados mediante monotributo; que fue creada entre 6 y 10 años atrás; que recibe publicidad oficial, pero que no depende totalmente de ella, y que se dedica en especial a coberturas locales relacionadas con la Intendencia municipal."
