"","departamento/municipio/barrio","pob","cant_medios","cant_periodistas","index","pobXmedios","categoria","tipo_entidade","pobXperiodistas","nome_local","provincia","codpcia","nome_provincia","nam","randId","local","xmin","ymin","xmax","ymax","xc","yc"
"1","Apóstoles","42249",NA,NA,0,NA,"1","departamento",NA,"apostoles","Misiones","54",NA,"Apóstoles",1,"apostoles_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.6785768813642,-27.8853502011279
"2","Cainguás ","53403",NA,NA,1,NA,"1","departamento",NA,"cainguas","Misiones","54",NA,"Cainguás ",2,"cainguas_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-54.8030838242041,-27.1464524432178
"3","Candelaria ","27040",NA,NA,2,NA,"1","departamento",NA,"candelaria","Misiones","54",NA,"Candelaria ",3,"candelaria_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.5836489100249,-27.4600905207182
"4","Concepción","9577",NA,NA,4,NA,"1","departamento",NA,"concepcion","Misiones","54",NA,"Concepción",4,"concepcion_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.4705506848279,-27.9284327169185
"5","General Manuel Belgrano ","42902",NA,NA,6,NA,"1","departamento",NA,"general_manuel_belgrano","Misiones","54",NA,"General Manuel Belgrano ",5,"general_manuel_belgrano_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-53.9645277327875,-26.0136976346248
"6","Guaraní","67897","2","10",7,NA,"1","departamento",NA,"guarani","Misiones","54",NA,"Guaraní",6,"guarani_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-54.2708627438373,-27.0222032098251
"7","Iguazú ","82227","1","2",8,"82227","1","departamento","41113.5","iguazu","Misiones","54",NA,"Iguazú ",7,"iguazu_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-54.3988885336945,-25.8766463682136
"8","Leandro N. Alem","45075","1","5",9,"45075","2","departamento","9015","leandro_n._alem","Misiones","54",NA,"Leandro N. Alem",8,"leandro_n._alem_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.3887933482404,-27.6284066820894
"9","Libertador General San Martín","46561",NA,NA,10,NA,"1","departamento",NA,"libertador_general_san_martin","Misiones","54",NA,"Libertador General San Martín",9,"libertador_general_san_martin_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-54.9244869650098,-26.8942897437098
"10","Montecarlo","36745","3","8",11,"12248.33333","3","departamento","4593.125","montecarlo","Misiones","54",NA,"Montecarlo",10,"montecarlo_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-54.5666650498422,-26.6583700068505
"11","Oberá","107501","3","15",12,"35833.66667","2","departamento","7166.733333","obera","Misiones","54",NA,"Oberá",11,"obera_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.0738025640724,-27.4734874581219
"12","San Ignacio","57728","1","5",13,"57728","1","departamento","11545.6","san_ignacio","Misiones","54",NA,"San Ignacio",12,"san_ignacio_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.3398937430235,-27.1772816148956
"13","San Javier","20906",NA,NA,14,NA,"1","departamento",NA,"san_javier","Misiones","54",NA,"San Javier",13,"san_javier_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-55.1720759607237,-27.7740066778234
"14","San Pedro","31051","3","15",15,"10350.33333","3","departamento","2070.066667","san_pedro","Misiones","54",NA,"San Pedro",14,"san_pedro_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-53.9529180665666,-26.6722990534639
"15","25 de Mayo","27754",NA,NA,16,NA,"1","departamento",NA,"25_de_mayo","Misiones","54",NA,"25 de Mayo",15,"25_de_mayo_Misiones",-56.0557433900496,-28.1609268592933,-53.6420840300583,-25.4974682692859,-54.6354772937934,-27.3755237728727
"16","Río Grande","66420","11","62",0,"6038.181818","3","municipio","1071.290323","rio_grande","Tierra del Fuego, Antártida e Islas del Atlántico Sur","94",NA,"Río Grande",16,"rio_grande_Tierra del Fuego, Antártida e Islas del Atlántico Sur",-68.6121761100059,-55.0586553394917,-57.713527680027,-51.0229110694478,-67.9007643636968,-54.0296675387194
"17","Ushuaia","53241","4","39",2,"13310.25","2","municipio","1365.153846","ushuaia","Tierra del Fuego, Antártida e Islas del Atlántico Sur","94",NA,"Ushuaia",17,"ushuaia_Tierra del Fuego, Antártida e Islas del Atlántico Sur",-68.6121761100059,-55.0586553394917,-57.713527680027,-51.0229110694478,-66.7393710375145,-54.7505014744158
"18","Calamuchita","54730","7","26",0,"7818.571429","3","departamento","2105","calamuchita","Córdoba","14",NA,"Calamuchita",18,"calamuchita_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.6228969766199,-32.2154158415757
"19","Capital","1329604","25","576",1,"53184.16","4","departamento","2308.340278","capital","Córdoba","14",NA,"Capital",19,"capital_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.1844812537752,-31.4177161685934
"20","Colón ","225151","9","24",2,"25016.77778","3","departamento","9381.291667","colon","Córdoba","14",NA,"Colón ",20,"colon_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.1523100579765,-31.14763032496
"21","Cruz del Eje","58759","12","24",3,"4896.583333","2","departamento","2448.291667","cruz_del_eje","Córdoba","14",NA,"Cruz del Eje",21,"cruz_del_eje_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-65.086957669955,-30.6552992801122
"22","General Roca","35645","11","25",4,"3240.454545","3","departamento","1425.8","general_roca","Córdoba","14",NA,"General Roca",22,"general_roca_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.382792103337,-34.622776240473
"23","General San Martín","127454","12","84",5,"10621.16667","4","departamento","1517.309524","general_san_martin","Córdoba","14",NA,"General San Martín",23,"general_san_martin_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-63.2578163973811,-32.5178931662788
"24","Ischilín","31312","12","33",6,"2609.333333","3","departamento","948.8484848000001","ischilin","Córdoba","14",NA,"Ischilín",24,"ischilin_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.6094847044665,-30.4012253480199
"25","Juárez Celman","61078","12","38",7,"5089.833333","3","departamento","1607.315789","juarez_celman","Córdoba","14",NA,"Juárez Celman",25,"juarez_celman_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-63.6061176954588,-33.331979341072
"26","Marcos Juárez","104205","12","39",8,"8683.75","4","departamento","2671.923077","marcos_juarez","Córdoba","14",NA,"Marcos Juárez",26,"marcos_juarez_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-62.278763392866,-33.0275703789558
"27","Minas","4727","2","4",9,"2363.5","1","departamento","1181.75","minas","Córdoba","14",NA,"Minas",27,"minas_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-65.413878193049,-31.0369413031404
"28","Pocho","5380","2","6",10,"2690","1","departamento","896.6666667","pocho","Córdoba","14",NA,"Pocho",28,"pocho_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-65.4437101047412,-31.4678069508062
"29","Presidente Roque Sáenz Peña","36282","8","18",11,"4535.25","2","departamento","2015.666667","presidente_roque_saenz_pena","Córdoba","14",NA,"Presidente Roque Sáenz Peña",29,"presidente_roque_saenz_pena_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-63.4204759084009,-34.1420424558603
"30","Punilla ","178401","16","57",12,"11150.0625","4","departamento","3129.842105","punilla","Córdoba","14",NA,"Punilla ",30,"punilla_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.5952494975642,-31.2337869727983
"31","Río Cuarto","246393","12","88",13,"20532.75","4","departamento","2799.920455","rio_cuarto","Córdoba","14",NA,"Río Cuarto",31,"rio_cuarto_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-64.4952689464321,-33.3338016476729
"32","Río Primero","46675","8","25",14,"5834.375","3","departamento","1867","rio_primero","Córdoba","14",NA,"Río Primero",32,"rio_primero_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-63.4404822357896,-31.0336634407326
"33","Río Seco","13242","4","12",15,"3310.5","1","departamento","1103.5","rio_seco","Córdoba","14",NA,"Río Seco",33,"rio_seco_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-63.2029257703905,-30.0255564251017
"34","Río Segundo","103718","13","47",16,"7978.307692","3","departamento","2206.765957","rio_segundo","Córdoba","14",NA,"Río Segundo",34,"rio_segundo_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-63.479864878328,-31.7353452807568
"35","San Alberto","37004","6","19",17,"6167.333333","2","departamento","1947.578947","san_alberto","Córdoba","14",NA,"San Alberto",35,"san_alberto_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-65.1676400940977,-31.7173246655481
"36","San Javier","53520","7","31",18,"7645.714286","3","departamento","1726.451613","san_javier","Córdoba","14",NA,"San Javier",36,"san_javier_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-65.1416614943136,-32.0770748267899
"37","San Justo","206307","12","63",19,"17192.25","4","departamento","3274.714286","san_justo","Córdoba","14",NA,"San Justo",37,"san_justo_Córdoba",-65.7910589900182,-35.0172230493248,-61.77351358003,-29.5046493192988,-62.5294224830125,-31.236898455708
