"";"nam";"gid"
"1";"General Lavalle";31
"2";"La Costa";32
"3";"Magdalena";33
"4";"Vicente López";34
"5";"San Justo";91
"6";"Comuna 14";245
"7";"Cerrillos";94
"8";"Susques";138
"9";"Marcos Paz";299
"10";"Concordia";1
"11";"Federal";2
"12";"Gualeguaychú";3
"13";"Islas del Ibicuy";4
"14";"Victoria";5
"15";"Diamante";6
"16";"Uruguay";7
"17";"Paraná";8
"18";"Saladillo";9
"19";"Las Flores";10
"20";"Rojas";11
"21";"Escobar";12
"22";"José C. Paz";13
"23";"San Antonio de Areco";14
"24";"Maipú";15
"25";"Antártida Argentina";160
"26";"Iguazú";478
"27";"Ushuaia";527
"28";"General Ortiz de Ocampo";64
"29";"Corpen Aike";76
"30";"O'Higgins";16
"31";"Moreno";17
"32";"La Matanza";18
"33";"Tandil";22
"34";"Coronel Suárez";23
"35";"Adolfo Gonzales Chaves";24
"36";"Bahía Blanca";25
"37";"General Alvarado";26
"38";"General Pueyrredón";27
"39";"Mar Chiquita";28
"40";"Villa Gesell";29
"41";"Conesa";77
"42";"Pinamar";30
"43";"General Paz";19
"44";"General Guido";20
"45";"General Juan Madariaga";21
"46";"Alberdi";35
"47";"Juan Felipe Ibarra";36
"48";"General Taboada";37
"49";"Cruz del Eje";85
"50";"Punilla";86
"51";"Santa María";87
"52";"Gaiman";78
"53";"Rawson";79
"54";"Rivadavia";38
"55";"Ojo de Agua";39
"56";"Choya";40
"57";"Gobernador Dupuy";41
"58";"Cachi";42
"59";"Chicoana";43
"60";"La Viña";44
"61";"Rauch";45
"62";"Metán";46
"63";"Molinos";47
"64";"Minas";88
"65";"San Alberto";89
"66";"Río Segundo";90
"67";"Salliqueló";48
"68";"Berazategui";49
"69";"General Güemes";50
"70";"San Carlos";51
"71";"Santa Rosa";52
"72";"Unión";92
"73";"Rivadavia";53
"74";"Tornquist";54
"75";"La Paz";55
"76";"Coronel Pringles";56
"77";"Tigre";57
"78";"Chamical";65
"79";"Tercero Arriba";93
"80";"General Pinto";58
"81";"San Cayetano";59
"82";"Tres Arroyos";60
"83";"Coronel Dorrego";61
"84";"Necochea";62
"85";"Independencia";63
"86";"General Lamadrid";80
"87";"Ayacucho";81
"88";"Tapalqué";313
"89";"Arauco";66
"90";"Lezama";67
"91";"Chascomús";68
"92";"Punta Indio";69
"93";"El Carmen";70
"94";"Santa María";71
"95";"Campana";72
"96";"Santa Rosa";73
"97";"La Paz";74
"98";"Magallanes";75
"99";"Comuna 6";82
"100";"12 de Octubre";83
"101";"Tulumba";84
"102";"Río Cuarto";95
"103";"Tupungato";96
"104";"Pilagás";97
"105";"Laishi";98
"106";"Pirané";99
"107";"General Güemes";100
"108";"Valcheta";101
"109";"San Antonio";102
"110";"9 de Julio";103
"111";"Ñorquinco";104
"112";"25 de Mayo";105
"113";"Villarino";111
"114";"Vera";175
"115";"Telsen";106
"116";"Pilcaniyeu";107
"117";"Adolfo Alsina";108
"118";"Capital";221
"119";"Pellegrini";109
"120";"General Roca";114
"121";"General Alvear";115
"122";"La Caldera";116
"123";"San Rafael";117
"124";"Anta";118
"125";"Picún Leufú";119
"126";"Zapala";120
"127";"Aluminé";121
"128";"Sarmiento";122
"129";"Antofagasta de la Sierra";222
"130";"San Carlos";223
"131";"Tunuyán";224
"132";"Luján de Cuyo";225
"133";"Puán";110
"134";"Presidente Roque Sáenz Peña";112
"135";"Comuna 1";123
"136";"Comuna 4";124
"137";"General Belgrano";169
"138";"Futaleufú";226
"139";"Tapenagá";161
"140";"Comuna 5";125
"141";"Chapaleufú";177
"142";"General Villegas";113
"143";"Comuna 12";129
"144";"Fray Mamerto Esquiú";130
"145";"9 de Julio";176
"146";"Cushamen";202
"147";"Lácar";190
"148";"Hucal";146
"149";"Río Chico";227
"150";"Lago Argentino";228
"151";"El Cuy";229
"152";"Comuna 7";126
"153";"Iruya";139
"154";"Quitilipi";162
"155";"Los Lagos";189
"156";"Comuna 10";127
"157";"Ñorquín";196
"158";"Realicó";178
"159";"Las Heras";230
"160";"Lavalle";231
"161";"Comuna 11";128
"162";"Caleu Caleu";147
"163";"Lihuel Calel";148
"164";"Curacó";149
"165";"Belén";191
"166";"Confluencia";192
"167";"Picunches";193
"168";"Añelo";194
"169";"Loncopué";195
"170";"San Martín";131
"171";"Yavi";132
"172";"Santa Catalina";133
"173";"San Pedro";134
"174";"Valle Grande";135
"175";"Patiño";136
"176";"Bermejo";137
"177";"Matacos";140
"178";"Los Andes";141
"179";"Orán";142
"180";"Tilcara";143
"181";"Palpalá";144
"182";"Loventué";145
"183";"Eldorado";158
"184";"San Pedro";159
"185";"Limay Mahuida";150
"186";"Puelén";151
"187";"Chalileo";152
"188";"Chical Co";153
"189";"Quebrachos";154
"190";"Monte Caseros";155
"191";"Esquina";156
"192";"Montecarlo";157
