"";"departamento/municipio/barrio";"poblacion_residente";"cantidad_de_medios";"cantidad_de_periodistas";"index";"relacion_poblacion_residente/medios";"categoria";"tipo_entidade";"relacion_poblacion_residente/periodistas";"nome_local";"provincia";"codpcia"
"1";"Capital (Posadas)";"324756";"10";"145";3;"32475.6";"4";"departamento";"2239.696552";"capital_(posadas)";"misiones";"54"
"2";"El Dorado";"78221";"1";"5";5;"78221";"1";"departamento";"15644.2";"el_dorado";"misiones";"54"
"3";"Tolhuin";"2875";"1";"2";1;"2875";"1";"municipio";"1437.5";"tolhuin";"tierra_del_fuego";"94"
"4";"Corpen Aike";"11093";"2";"2";0;"5546.5";"1";"departamento";"5546.5";"corpen_aike";"santiago_del_estero";"86"
"5";"Deseado";"107630";"8";"19";1;"13453.75";"2";"departamento";"5664.736842";"deseado";"santiago_del_estero";"86"
"6";"Güer Aike";"113267";"12";"53";2;"9438.916667";"4";"departamento";"2137.113208";"guer_aike";"santiago_del_estero";"86"
"7";"Lago Argentino";"18864";"7";"23";3;"2694.857143";"3";"departamento";"820.173913";"lago_argentino";"santiago_del_estero";"86"
"8";"Lago Buenos Aires";"8750";"3";"12";4;"2916.666667";"1";"departamento";"729.1666667";"lago_buenos_aires";"santiago_del_estero";"86"
"9";"Magallanes";"9202";"1";"2";5;"9202";"1";"departamento";"4601";"magallanes";"santiago_del_estero";"86"
"10";"Río Chico";"5158";"2";"10";6;"2579";"1";"departamento";"515.8";"rio_chico";"santiago_del_estero";"86"
"11";"28 de Noviembre";"6822";"1";"7";0;"6822";"1";"municipio";"974.5714286";"28_de_noviembre";"santa_cruz";"78"
"12";"Bajo Caracoles";"33";NA;NA;1;NA;"1";"municipio";NA;"bajo_caracoles";"santa_cruz";"78"
"13";"Caleta Olivia";"51733";"2";"9";2;"25866.5";"2";"municipio";"5748.111111";"caleta_olivia";"santa_cruz";"78"
"14";"Cañadón Seco";"879";NA;NA;3;NA;"1";"municipio";NA;"canadon_seco";"santa_cruz";"78"
"15";"Comandante Luis Piedra Buena";"6405";"1";"1";4;"6405";"1";"municipio";"6405";"comandante_luis_piedra_buena";"santa_cruz";"78"
"16";"El Calafate";"16655";"5";"20";5;"3331";"3";"municipio";"832.75";"el_calafate";"santa_cruz";"78"
"17";"El Chaltén";"1627";"1";"2";6;"1627";"1";"municipio";"813.5";"el_chalten";"santa_cruz";"78"
"18";"Fitz Roy";"326";NA;NA;7;NA;"1";"municipio";NA;"fitz_roy";"santa_cruz";"78"
"19";"Gobernador Gregores ";"4497";"2";"10";8;"2248.5";"1";"municipio";"449.7";"gobernador_gregores";"santa_cruz";"78"
"20";"Jaramillo";"420";NA;NA;9;NA;"1";"municipio";NA;"jaramillo";"santa_cruz";"78"
"21";"Koluel Kaike";"250";NA;NA;10;NA;"1";"municipio";NA;"koluel_kaike";"santa_cruz";"78"
"22";"Lago Posadas";"266";NA;NA;11;NA;"1";"municipio";NA;"lago_posadas";"santa_cruz";"78"
